iter	Passed	Remaining
178	283	1300
179	284	1296
180	285	1293
181	287	1290
182	288	1288
183	289	1285
184	291	1283
185	292	1281
186	295	1283
187	296	1280
188	297	1277
189	299	1275
190	300	1272
191	301	1269
192	302	1266
193	304	1263
194	305	1261
195	307	1261
196	310	1264
197	311	1262
198	313	1260
199	314	1258
200	316	1256
201	317	1253
202	318	1251
203	320	1249
204	324	1256
205	325	1255
206	327	1253
207	328	1251
208	330	1249
209	331	1246
210	332	1244
211	334	1242
212	339	1253
213	340	1251
214	342	1249
215	343	1247
216	345	1245
217	346	1243
218	348	1241
219	349	1239
220	351	1238
221	353	1239
222	355	1236
223	356	1234
224	357	1232
225	358	1229
226	360	1227
227	361	1225
228	363	1222
229	364	1221
230	367	1221
231	368	1220
232	369	1217
233	371	1215
234	372	1212
235	373	1210
236	375	1207
237	376	1205
238	377	1202
239	381	1209
240	383	1208
241	385	1206
242	386	1205
243	388	1203
244	389	1200
245	391	1198
246	392	1196
247	394	1196
248	396	1197
249	398	1195
250	400	1194
251	401	1193
252	403	1190
253	404	1188
254	406	1186
255	407	1184
256	409	1183
257	411	1184
258	413	1182
259	414	1180
260	416	1178
261	417	1176
262	419	1174
263	420	1172
264	422	1170
265	423	1169
266	425	1169
267	427	1166
268	428	1165
269	430	1162
270	431	1160
271	432	1158
272	434	1156
273	435	1153
274	436	1151
275	438	1150
276	440	1150
277	442	1148
278	443	1146
279	444	1143
280	446	1141
281	447	1138
282	448	1136
283	449	1134
284	451	1133
285	454	1133
286	455	1132
287	457	1131
288	459	1129
289	460	1127
290	461	1125
291	463	1123
292	464	1121
293	468	1126
294	470	1124
295	472	1123
296	473	1121
297	475	1119
298	476	1117
299	477	1115
300	479	1113
301	480	1111
302	482	1110
303	484	1109
304	486	1108
305	487	1105
306	488	1103
307	490	1101
308	491	1098
309	492	1096
310	493	1094
311	495	1092
312	497	1092
313	499	1091
314	501	1089
315	502	1087
316	503	1085
317	505	1083
318	506	1081
319	507	1078
320	508	1076
321	510	1075
322	513	1075
323	514	1073
324	516	1072
325	518	1071
326	519	1070
327	521	1068
328	522	1066
329	524	1064
330	528	1067
331	529	1065
332	531	1064
333	532	1062
334	533	1059
335	535	1057
336	536	1055
337	537	1052
338	539	1051
339	542	1053
340	544	1051
341	545	1049
342	546	1047
343	548	1045
344	549	1043
345	550	1041
346	552	1039
347	556	1041
348	557	1040
349	559	1038
350	560	1036
351	561	1034
352	563	1032
353	564	1030
354	565	1028
355	567	1026
356	568	1024
357	571	1024
358	572	1022
359	574	1021
360	575	1019
361	577	1017
362	578	1015
363	579	1013
364	581	1011
365	582	1009
366	585	1010
367	587	1008
368	588	1006
369	590	1004
370	591	1002
371	592	1001
372	594	999
373	595	997
374	597	995
375	598	993
376	601	993
377	602	991
378	604	990
379	605	988
380	607	986
381	608	984
382	609	982
383	611	981
384	613	979
385	615	978
386	617	977
387	618	975
388	619	973
389	620	971
390	622	969
391	623	967
392	624	965
393	626	963
394	628	962
395	630	961
396	631	959
397	633	957
398	634	955
399	635	953
400	636	951
401	638	949
402	639	947
403	645	951
404	647	950
405	649	949
406	650	947
407	651	945
408	652	943
409	653	941
410	658	944
411	660	943
412	662	940
413	663	938
414	664	936
415	665	934
416	667	932
417	668	930
418	669	928
419	671	927
420	674	927
421	675	925
422	676	923
423	678	921
424	679	919
425	680	917
426	681	915
427	683	912
428	684	910
429	686	909
430	689	909
431	690	908
432	692	907
433	694	905
434	695	902
435	696	900
436	697	898
437	698	896
438	700	895
439	703	894
440	704	893
441	706	891
442	707	889
443	708	887
444	709	885
445	711	883
446	712	881
447	713	879
448	715	877
449	717	877
450	719	875
451	720	873
452	721	871
453	723	869
454	724	867
455	725	865
456	727	863
457	728	861
458	731	862
459	733	861
460	734	859
461	736	857
462	737	855
463	738	853
464	740	851
465	741	850
466	743	848
467	744	846
468	747	845
469	748	843
470	749	842
471	751	840
472	752	838
473	753	836
474	755	834
475	756	832
476	757	830
477	759	829
478	761	828
479	762	826
480	764	824
481	765	822
482	766	820
483	768	818
484	769	817
485	771	815
486	772	814
487	775	813
488	776	811
489	778	810
490	780	808
491	781	807
492	783	805
493	784	803
494	785	801
495	787	800
496	790	800
497	791	798
498	793	796
499	794	794
500	795	792
501	796	790
502	798	788
503	799	786
504	801	785
505	803	784
506	805	782
507	806	781
508	808	779
509	809	778
510	811	776
511	812	774
512	814	772
513	815	771
514	817	770
515	819	768
516	821	767
517	822	765
518	823	763
519	825	761
520	826	759
521	828	758
522	829	756
523	830	754
524	833	754
525	834	752
526	836	750
527	837	749
528	839	747
529	840	745
530	842	743
531	843	742
532	845	740
533	847	739
534	848	737
535	850	735
536	851	734
537	852	732
538	854	731
539	856	729
540	857	727
541	859	726
542	861	725
543	863	723
544	865	722
545	866	720
546	867	718
547	869	716
548	870	715
549	871	713
550	873	711
551	875	710
552	877	709
553	878	707
554	880	705
555	881	704
556	883	702
557	884	700
558	885	698
559	887	697
560	889	695
561	891	694
562	893	693
563	894	691
564	896	689
565	897	688
566	899	686
567	901	685
568	903	684
569	905	683
570	907	682
571	909	680
572	913	680
573	914	678
574	915	676
575	917	675
576	919	673
577	921	672
578	922	670
579	924	669
580	925	667
581	926	665
582	928	663
583	929	662
584	931	660
585	933	659
586	935	658
587	937	656
588	938	654
589	939	653
590	941	651
591	942	649
592	943	647
593	945	645
594	946	644
595	949	643
596	950	641
597	952	640
598	954	638
599	955	636
600	956	635
601	957	633
602	959	631
603	960	629
604	962	628
605	965	627
606	966	626
607	968	624
608	969	622
609	970	620
610	972	618
611	973	617
612	975	615
613	976	614
614	979	612
615	980	611
616	982	609
617	983	607
618	984	606
619	986	604
620	987	602
621	988	600
622	991	599
623	993	598
624	994	596
625	996	595
626	997	593
627	998	591
628	1000	589
629	1001	588
630	1002	586
631	1004	584
632	1005	583
633	1008	581
634	1009	580
635	1010	578
636	1012	576
637	1013	575
638	1015	573
639	1016	571
640	1017	570
641	1019	568
642	1021	566
643	1023	565
644	1024	563
645	1025	562
646	1026	560
647	1028	558
648	1029	556
649	1031	555
650	1032	553
651	1034	551
652	1036	551
653	1038	549
654	1040	547
655	1041	546
656	1043	544
657	1044	543
658	1046	541
659	1047	539
660	1049	538
661	1051	536
662	1053	535
663	1054	533
664	1055	531
665	1057	530
666	1058	528
667	1059	526
668	1061	525
669	1064	524
670	1066	522
671	1067	521
672	1069	519
673	1070	517
674	1072	516
675	1073	514
676	1076	513
677	1078	512
678	1080	510
679	1082	509
680	1083	507
681	1085	505
682	1086	504
683	1087	502
684	1089	500
685	1093	500
686	1094	498
687	1096	497
688	1098	495
689	1099	494
690	1101	492
691	1102	490
692	1103	488
693	1105	487
694	1108	486
695	1109	484
696	1111	483
697	1112	481
698	1114	479
699	1115	478
700	1116	476
701	1118	474
702	1119	473
703	1121	471
704	1123	470
705	1124	468
706	1126	466
707	1127	465
708	1128	463
709	1130	461
710	1131	460
711	1133	458
712	1134	456
713	1137	455
714	1138	453
715	1140	452
716	1141	450
717	1143	448
718	1144	447
719	1145	445
720	1147	444
721	1150	443
722	1152	441
723	1154	439
724	1155	438
725	1156	436
726	1158	434
727	1159	433
728	1160	431
729	1163	430
730	1166	429
731	1168	427
732	1169	426
733	1171	424
734	1172	422
735	1173	421
736	1175	419
737	1176	417
738	1178	416
739	1180	414
740	1182	413
741	1184	411
742	1185	410
743	1187	408
744	1188	406
745	1189	405
746	1191	403
747	1194	402
748	1195	400
749	1197	399
750	1199	397
751	1200	395
752	1202	394
753	1203	392
754	1204	390
755	1206	389
756	1209	388
757	1211	386
758	1212	385
759	1214	383
760	1215	381
761	1216	380
762	1217	378
763	1219	376
764	1220	375
765	1224	374
766	1225	372
767	1227	370
768	1228	369
769	1230	367
770	1231	365
771	1233	364
772	1234	362
773	1236	361
774	1238	359
775	1240	358
776	1242	356
777	1243	354
778	1244	353
779	1246	351
780	1247	349
781	1248	348
782	1250	346
783	1252	345
784	1254	343
785	1255	341
786	1256	340
787	1258	338
788	1259	336
789	1262	335
790	1263	333
791	1266	332
792	1268	331
793	1269	329
794	1271	327
795	1272	326
796	1273	324
797	1275	322
798	1276	321
799	1277	319
800	1282	318
801	1283	316
802	1284	315
803	1286	313
804	1288	312
805	1289	310
806	1291	308
807	1293	307
808	1295	305
809	1297	304
810	1298	302
811	1300	300
812	1301	299
813	1302	297
814	1304	296
815	1306	294
816	1308	293
817	1310	291
818	1311	289
819	1313	288
820	1314	286
821	1315	284
822	1316	283
823	1318	281
824	1319	279
825	1321	278
826	1323	276
827	1325	275
828	1326	273
829	1328	272
830	1329	270
831	1330	268
832	1332	267
833	1333	265
834	1335	263
835	1338	262
836	1340	261
837	1341	259
838	1343	257
839	1344	256
840	1345	254
841	1347	252
842	1348	251
843	1350	249
844	1352	248
845	1353	246
846	1355	244
847	1356	243
848	1357	241
849	1359	239
850	1360	238
851	1362	236
852	1363	234
853	1366	233
854	1367	231
855	1369	230
856	1371	228
857	1372	227
858	1373	225
859	1375	223
860	1376	222
861	1378	220
862	1381	219
863	1383	217
864	1384	216
865	1385	214
866	1386	212
867	1388	211
868	1389	209
869	1390	207
870	1393	206
871	1395	204
872	1397	203
873	1398	201
874	1399	199
875	1400	198
876	1401	196
877	1403	194
878	1404	193
879	1405	191
880	1406	189
881	1408	188
882	1410	186
883	1411	185
884	1413	183
885	1414	181
886	1415	180
887	1416	178
888	1417	177
889	1419	175
890	1420	173
891	1424	172
892	1425	170
893	1427	169
894	1429	167
895	1431	166
896	1432	164
897	1434	162
898	1436	161
899	1439	159
900	1441	158
901	1442	156
902	1443	155
903	1445	153
904	1446	151
905	1448	150
906	1449	148
907	1450	146
908	1452	145
909	1454	143
910	1455	142
911	1457	140
912	1458	138
913	1459	137
914	1461	135
915	1462	134
916	1463	132
917	1465	130
918	1468	129
919	1469	127
920	1471	126
921	1472	124
922	1473	122
923	1474	121
924	1476	119
925	1477	118
926	1480	116
927	1483	115
928	1484	113
929	1486	111
930	1487	110
931	1488	108
932	1490	107
933	1491	105
934	1492	103
935	1494	102
936	1497	100
937	1498	99
938	1500	97
939	1501	95
940	1503	94
941	1504	92
942	1505	91
943	1507	89
944	1509	87
945	1511	86
946	1513	84
947	1514	83
948	1516	81
949	1517	79
950	1519	78
951	1520	76
952	1521	75
953	1523	73
954	1526	71
955	1528	70
956	1529	68
957	1531	67
958	1532	65
959	1533	63
960	1535	62
961	1536	60
962	1537	59
963	1539	57
964	1541	55
965	1543	54
966	1544	52
967	1546	51
968	1547	49
969	1548	47
970	1549	46
971	1551	44
972	1552	43
973	1555	41
974	1556	39
975	1558	38
976	1559	36
977	1561	35
978	1562	33
979	1564	31
980	1565	30
981	1567	28
982	1569	27
983	1571	25
984	1572	23
985	1574	22
986	1575	20
987	1577	19
988	1578	17
989	1579	15
990	1580	14
991	1582	12
992	1584	11
993	1586	9
994	1587	7
995	1589	6
996	1590	4
997	1591	3
998	1593	1
999	1594	0
